No.  Input_img    Ref_img    IdentityIssame     Expression_actual    Expression_require    Expression_ref    ExpressionIsrequire
0  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Anger/P022_Anger_000.png  True  3  3  -1  True
1  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_018.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Anger/P022_Anger_000.png  True  5  5  -1  True
2  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_021.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Disgust/P022_Disgust_000.png  True  3  3  -1  True
3  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_017.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Disgust/P022_Disgust_000.png  True  5  5  -1  True
4  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Fear/P022_Fear_000.png  True  3  3  -1  True
5  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_017.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Fear/P022_Fear_000.png  True  5  5  -1  True
6  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_000.png  True  3  3  -1  True
7  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_017.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_000.png  True  5  5  -1  True
8  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_022.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Sadness/P022_Sadness_000.png  True  3  3  -1  True
9  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_017.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Sadness/P022_Sadness_000.png  True  5  5  -1  True
